"GDP per capita, current prices
 (U.S. dollars per capita)";1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Denmark;13886,37;12076,174;11801,273;11852,891;11561,767;12259,279;17215,426;21349,948;22528,114;21913,155;26920,581;27052,653;29622,474;27640,496;30050,878;35471,255;35732,689;32897,57;33426,974;33492,354;30798,717;30806,607;33275,556;40512,045;46571,283;48872,095;52121,249;58641,193;64531,119;58286,537;58177,162;61864,093;58623,414;61325,575;62729,499;53235,651;53773,639;56630,596;61226,976;62041,099;64644,205;67135,792;69993,236;72863,231
Djibouti;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;934,297;929,131;934,386;886,101;909,389;895,477;864,577;855,79;851,679;870,939;871,161;880,352;884,072;905,262;934,845;967,29;1020,629;1094,968;1235,838;1240,597;1306,536;1433,171;1522,945;1592,86;1690,668;1788,363;1902,754;1988,765;2084,856;2218,049;2344,271;2477,676;2618,672;2767,692
Dominica;no data;1112,642;1217,573;1346,688;1495,272;1642,752;1864,889;2102,964;2377,904;2582,185;2819,552;3087,299;3287,848;3448,673;3713,105;3855,291;4104,42;4254,367;4526,684;4657,561;4681,178;4775,344;4680,264;4825,77;5165,218;5127,438;5497,251;5939,91;6463,44;6903,996;6975,991;7082,209;6868,992;7187,65;7466,584;7564,368;8220,134;7879,139;6860,069;7625,832;8287,502;8745,44;9127,892;9417,508
Dominican Republic;1534,317;1677,447;1545,099;1562,13;2397,598;1022,611;1212,354;1245,272;1113,835;1230,744;1123,244;1365,232;1573,686;1741,669;1916,439;2141,061;2309,916;2495,032;2658,543;2674,828;2894,303;3007,381;3158,393;2460,554;2540,849;4008,356;4188,715;4803,473;5194,799;5151,172;5688,751;6063,35;6274,865;6413,934;6693,685;6903,42;7189,4;7477,616;7891,294;8267,178;8673,142;9080,585;9507,168;9965,725
Ecuador;2097,141;2087,382;2026,375;1732,499;1794,733;2044,313;1461,92;1332,147;1234,671;1182,529;1173,126;1286,617;1375,712;1572,842;1858,323;1980,373;2037,13;2253,233;2257,861;1598,768;1461,838;1909,424;2180,386;2434,977;2700,118;3025,012;3351,476;3588,311;4267,473;4241,938;4633,247;5192,875;5664,886;6030,502;6347;6099,351;6046,302;6216,606;6301,074;6277,577;6290,939;6347,744;6426,462;6517,04
Egypt;580,042;617,659;711,351;846,388;925,97;1049,33;1132,456;1585,217;1858,029;2266,442;1870,847;923,843;825,448;906,804;978,537;1111,782;1221,885;1342,925;1469,317;1532,889;1642,629;1569,035;1356,683;1254,101;1195,373;1330,459;1563,479;1861,052;2270,356;2578,046;2921,757;3077,343;3383,113;3400,321;3524,418;3731,177;3686,07;2495,02;2572,382;3005,243;3343,835;3459,152;3579,193;3817,427
El Salvador;830,321;723,863;709,196;675,089;490,653;473,306;471,735;473,953;545,548;613,809;917,627;985,43;1076,555;1221,256;1386,17;1590,365;1690,71;1783,893;1892,157;1935,54;2007,654;2078,263;2132,019;2218,407;2287,468;2437,48;2640,245;2797,985;2943,844;2866,713;2994,793;3276,863;3438,288;3516,384;3596,472;3671,32;3771,645;3894,736;4041,039;4188,57;4363,103;4537,118;4723,802;4920,917
Equatorial Guinea;143,872;125,994;140,562;145,98;149,718;235,985;276,579;325,31;339,574;289,43;356,344;341,024;400,521;391,041;280,181;381,481;605,21;1115,206;905,263;1469,641;2230,362;3128,49;3738,426;6621,358;10154,496;13557,036;16228,886;20436,76;30013,898;22202,516;23411,827;29789,825;30408,456;28985,72;27936,759;16488,186;13708,152;14817,829;15294,314;14614,65;14147,235;13954,782;13926,749;14442,892
Eritrea;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;228,342;141,275;163,487;180,681;213,475;214,166;219,756;208,742;182,647;188,674;177,498;205,687;254,742;245,357;263,273;278,986;284,696;373,464;415,537;500,094;573,163;643,774;710,245;779,326;860,273;979,692;1111,561;1253,384;1294,736;1471,948;1677,447;1915,42
Estonia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1159,899;1662,133;2642,874;3351,762;3623,811;4055;4129,787;4084,362;4509,296;5325,038;7186,936;8859,481;10352,252;12613,018;16606,571;18162,457;14771,009;14672,328;17470,842;17431,54;19078,213;19969,128;17164,51;17744,131;19735,347;22416,701;23653,876;25366,939;27043,996;28828,846;30601,136
